Year,Submission,Acceptance,Acceptance rate,Place
2001,252,174,69%,Seoul
2002,372,264,71%,Hawaii
2003,545,383,70%,Canberra
2004,460,328,71%,Portland
2005,660,379,57%,Edinburgh
2006,792,451,57%,Vancouver
2007,1115,653,59%,Singapore
2008,867,604,70%,Hong Kong
2009,723,448,62%,Trondheim
2010,1027,622,61%,Barcelona
2011,631,410,65%,New Orleans
2012,758,482,64%,Bris-bane
2013,751,443,59%,Cancún
2014,869,437,50%,Beijing
2015,701,455,65%,Sendai
2016,1249,703,56%,Vancouver
2017,622,358,58%,San Sebastian
2018,NaN,347,NaN,Rio de Janeiro
2019,791,443,56%,New Zealand
2020,690,426,62%,Glasgow (online)
2021,542,324,60%,Kraków (online)
