Year,Submission,Acceptance,Acceptance rate,Place
2001,42,30,71%,Lake Como
2002,42,32,76%,Kinsale
2003,61,45,74%,Essex
2004,61,38,62%,Coimbra
2005,64,34,53%,Lausanne
2006,59,32,54%,Budapest
2007,71,35,49%,Valencia
2008,61,31,51%,Naples
2009,57,30,53%,Tübingen
2010,48,28,58%,Istanbul
2011,59,29,49%,Torino
2012,46,23,50%,Málaga
2013,47,23,49%,Vienna
2014,40,20,50%,Granada
2015,36,18,50%,Copenhagen
2016,36,19,53%,Porto
2017,34,22,65%,Amsterdam
2018,36,19,53%,Parma
2019,36,18,50%,Leipzig
2020,36,18,50%,Seville
2021,27,17,63%,Virtual event
2022,35,19,54%,Madrid/online
2023,38,22,58%,Brno/online
2024,24,13,54%,Aberystwyth
