Year,Submission,Acceptance,Acceptance rate,Place
2001,31,23,74%,Lake Como
2002,32,18,56%,Kinsale
2003,39,19,49%,Essex
2004,86,23,27%,Coimbra
2005,66,24,36%,Lausanne
2006,77,24,31%,Budapest
2007,81,21,26%,Valencia
2008,69,24,35%,Naples
2009,53,21,40%,Tübingen
2010,69,24,35%,Istanbul
2011,42,22,52%,Torino
2012,48,22,46%,Málaga
2013,50,23,46%,Vienna
2014,42,20,48%,Granada
2015,46,19,41%,Copenhagen
2016,44,17,39%,Porto
2017,39,16,41%,Amsterdam
2018,37,12,32%,Parma
2019,37,14,38%,Leipzig
2020,37,14,38%,Seville
2021,42,14,33%,Virtual event
