Year,Submission,Acceptance,Acceptance-full,Acceptance rate,Place
2001,352,NaN,170,NaN,San Francisco
2002,322,NaN,160,NaN,New York
2003,417,NaN,194,NaN,Chicago
2004,460,104,230,73%,Seattle
2005,549,120,253,68%,Washington DC
2006,446,143,205,78%,Seattle
2007,577,210,266,82%,London
2008,451,NaN,200,NaN,Atlanta
2009,531,137,220,67%,Montreal
2010,373,110,169,75%,Portland
2011,686,136,261,58%,Dublin
2012,467,NaN,172,NaN,Philadelphia
2013,570,NaN,204,NaN,Amsterdam
2014,544,NaN,180,NaN,Vancouver
2015,505,100,182,56%,Madrid
2016,381,122,138,68%,Denver
2017,464,167,181,75%,Berlin
2018,514,150,195,67%,Kyoto
2019,501,168,173,68%,Prague
2020,415,132,149,68%,Cancún (online)
2021,362,136,134,75%,Lille (online)
2022,426,184,158,80%,Boston/online
